grievance_text,department
The garbage collection in our neighborhood has been irregular this week.,Sanitation
Potholes on Elm Avenue have caused several accidents recently.,Roads and Bridges
There's a mosquito infestation near the community park.,Public Health
Our area hasn't had a consistent water supply for three days now.,Water Supply
Sewage overflow is creating a foul smell in the downtown area.,Sanitation
"Streetlights are out on the bridge, making it hazardous at night.",Roads and Bridges
The public toilet near the metro station is unhygienic and in need of repair.,Public Health
The drainage system gets clogged during rains causing waterlogging.,Sanitation
Recent road repairs have left debris on the sidewalks making them unsafe.,Roads and Bridges
There is a persistent water leak on Main Street that hasn't been addressed.,Water Supply
Garbage collection in my neighborhood has been irregular for weeks.,Sanitation
Potholes on Elm Street are causing damage to vehicles.,Roads and Bridges
A rise in mosquito population due to stagnant water is a health concern.,Public Health
There isn't enough water pressure in the taps during the daytime.,Water Supply
Overflowing trash bins near the park are attracting pests.,Sanitation
"Several street lights on the bridge are not functioning, making it unsafe at night.",Roads and Bridges
Untreated sewage is being discharged into the river behind Evergreen Apartments.,Sanitation
The sidewalk near the school is broken and hazardous to pedestrians.,Roads and Bridges
An abandoned construction site is accumulating water and becoming a breeding ground for mosquitoes.,Public Health
